Network name: C:\Users\Gleepa\Desktop\Проекты\MFSView\graphs\Regulon.net
Number of nodes: 21097
Number of edges: 521756
Number of single edges: 496104
Number of mutual edges: 25652

Algorithm: sampling
Sampling parameter: 100000
Subgraph Size: 4

Generated: 1 random networks
   with locally constant number of bidirectional edges,
   3 exchanges per edge and 3 tries per edge.

Calculating in the original network took: 34 sec 120 ms

Randomization 0 took: 22 sec 751 ms
Total time of a calculation: 1 min 34 sec
N_G;SKO_G;R;R_;Z_SCORE;COUNT_G
9036284.893495562;593856.9659131154;0.9433545471176114;0.6369120251789326;-Infinity;231.0
2.0755609977933712E7;584470.8953507991;3.172811402116474;2.525856229911433;Infinity;1783.0
1388914.3999056744;151648.20817273814;6.024054685868071;2.250645260750087;Infinity;124.0
1533531.5714089156;159342.40859300608;4.455223126329942;1.853269414748456;Infinity;128.0
188228.51178414773;55837.03503624343;5.149836381527364;0.18837543731872916;Infinity;17.0
196097.49354619722;56991.816110461186;2.4014218328117467;0.13124532632157257;Infinity;17.0
1701638.0643595539;257945.5894883812;1.606804199945968;0.5582294273495272;Infinity;174.0
6519.6860703431175;15969.890850406042;4.9E-324;4.9E-324;-Infinity;1.0
860598.5612852916;183460.05066842923;1.9609274644018255;0.3750672055852135;Infinity;88.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1156883.458882859;138407.1994754597;3.627045384663627;1.384045193297917;Infinity;98.0
69620.84884944516;33959.17006251174;3.6486152047464575;-0.322447451698172;Infinity;7.0
142744.12005505324;48625.00271069656;5.610586219085991;-0.026327413004579355;Infinity;30.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
62742.848373044144;32238.15203230618;4.9E-324;4.9E-324;-Infinity;15.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
106988.95996217248;42097.31428604439;2.8034816618090073;-0.12645174210654075;Infinity;9.0
42238.216801855786;26450.932705945328;1.1067877122404297;-0.24313358667186374;Infinity;7.0
57461.98746;40631.354673780814;3.011406562923243;-0.6440827423851595;Infinity;2.0
1036630.0851845557;201346.1519819756;2.2174124110443647;0.49827344394618345;Infinity;106.0
115571.22360808021;43753.083334674106;4.9E-324;4.9E-324;-Infinity;24.0
58677.17463308806;47909.35322844197;1.0250302654827725;-0.43071875918153496;Infinity;6.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
19559.058211029354;27660.616254075117;3.0750907964483174;-1.1943973159392065;Infinity;3.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
6519.6860703431175;15969.890850406042;4.9E-324;4.9E-324;-Infinity;1.0
48897.64552757339;43735.11045432225;1.2812878318534657;-0.5391887004583776;Infinity;5.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
0.0;0.0;4.9E-324;4.9E-324;-Infinity;0.0
1.65869773002036E9;4488123.4926674245;0.9855913684785579;0.9698535214093453;-Infinity;57732.0
3.408412830193938E7;747402.6547108873;3.3813628054736724;2.8184915343517924;Infinity;2897.0
96406.66014446388;39961.262905562384;7.578566159166813;-0.297854044213356;Infinity;21.0
2236225.548562379;192397.71457297556;12.089164184681875;4.737914130078045;Infinity;192.0
113774.25481958786;43411.64877607938;4.9E-324;4.9E-324;-Infinity;24.0
11762.368964396173;13958.48251866595;4.9E-324;4.9E-324;-Infinity;3.0
644559.5157087842;103319.12732111342;16.000634690940316;2.850814010381359;Infinity;151.0
